20230103_235008_965025, 20230103_235829_006154, 8.3340, GA, all, ranged, 1000, 100, 262.194143659226, 0.515681999706
20230104_001321_965141, 20230104_001324_927948, 0.0494, GA, all, ranged, 10, 100, 262.269973338988, 20.636755621945
20230104_001407_239597, 20230104_001410_336711, 0.0516, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_002007_123277, 20230104_002009_938978, 0.0469, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_002050_824031, 20230104_002054_306795, 0.0580, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_002533_738036, 20230104_002536_667251, 0.0488, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_002829_288718, 20230104_002832_004177, 0.0453, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_003031_342955, 20230104_003033_964648, 0.0437, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_003106_171687, 20230104_003108_674313, 0.0417, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_003134_079820, 20230104_003136_849469, 0.0462, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_003233_212678, 20230104_003235_843644, 0.0438, GA, all, fixed, 10, 100, 261.893756615799, 155.549295379196
20230104_003329_753192, 20230104_003332_261588, 0.0418, GA, all, ranged, 10, 100, 262.269973338988, 20.636755621945
20230105_000552_302265, 20230105_000553_649068, 0.0224, GA, chosen_0, fixed, 10, 100, 262.030560914814, 155.657378056530
